index,timestamp,power.draw [W],utilization.gpu [%],utilization.memory [%],memory.total [MiB],memory.used [MiB],memory.free [MiB]
0,2023/10/18 17:40:46.504,73.13,3,0,81920,4,81046
1,2023/10/18 17:40:46.512,63.18,0,0,81920,4,81046
2,2023/10/18 17:40:46.524,62.85,0,0,81920,4,81046
3,2023/10/18 17:40:46.535,60.56,0,0,81920,4,81046
4,2023/10/18 17:40:46.544,63.45,0,0,81920,4,81046
5,2023/10/18 17:40:46.554,63.37,0,0,81920,4,81046
6,2023/10/18 17:40:46.561,64.00,0,0,81920,4,81046
7,2023/10/18 17:40:46.568,62.04,0,0,81920,4,81046
0,2023/10/18 17:40:46.680,72.53,0,0,81920,4,81046
1,2023/10/18 17:40:46.687,62.85,0,0,81920,4,81046
2,2023/10/18 17:40:46.695,62.51,0,0,81920,4,81046
3,2023/10/18 17:40:46.703,60.56,0,0,81920,4,81046
4,2023/10/18 17:40:46.711,63.45,0,0,81920,4,81046
5,2023/10/18 17:40:46.717,63.37,0,0,81920,4,81046
6,2023/10/18 17:40:46.724,64.00,0,0,81920,4,81046
7,2023/10/18 17:40:46.732,62.04,0,0,81920,4,81046
0,2023/10/18 17:40:46.838,73.13,0,0,81920,4,81046
1,2023/10/18 17:40:46.844,63.18,0,0,81920,4,81046
2,2023/10/18 17:40:46.851,62.85,0,0,81920,4,81046
3,2023/10/18 17:40:46.856,60.56,0,0,81920,4,81046
4,2023/10/18 17:40:46.863,63.45,0,0,81920,4,81046
5,2023/10/18 17:40:46.872,63.37,0,0,81920,4,81046
6,2023/10/18 17:40:46.881,64.33,0,0,81920,4,81046
7,2023/10/18 17:40:46.886,61.76,0,0,81920,4,81046
0,2023/10/18 17:40:46.994,72.53,0,0,81920,4,81046
1,2023/10/18 17:40:47.000,62.85,0,0,81920,4,81046
2,2023/10/18 17:40:47.004,62.85,0,0,81920,4,81046
3,2023/10/18 17:40:47.013,60.88,0,0,81920,4,81046
4,2023/10/18 17:40:47.021,63.45,0,0,81920,4,81046
5,2023/10/18 17:40:47.029,63.37,0,0,81920,4,81046
6,2023/10/18 17:40:47.038,64.33,0,0,81920,4,81046
7,2023/10/18 17:40:47.045,62.04,0,0,81920,4,81046
0,2023/10/18 17:40:47.153,72.80,0,0,81920,4,81046
1,2023/10/18 17:40:47.157,62.85,0,0,81920,4,81046
2,2023/10/18 17:40:47.162,62.51,0,0,81920,4,81046
3,2023/10/18 17:40:47.169,60.56,0,0,81920,4,81046
4,2023/10/18 17:40:47.178,63.45,0,0,81920,4,81046
5,2023/10/18 17:40:47.185,63.37,0,0,81920,4,81046
6,2023/10/18 17:40:47.193,64.00,0,0,81920,4,81046
7,2023/10/18 17:40:47.199,62.04,0,0,81920,4,81046
0,2023/10/18 17:40:47.307,72.80,0,0,81920,4,81046
1,2023/10/18 17:40:47.315,62.85,0,0,81920,4,81046
2,2023/10/18 17:40:47.323,62.51,0,0,81920,4,81046
3,2023/10/18 17:40:47.331,60.56,0,0,81920,4,81046
4,2023/10/18 17:40:47.339,63.45,0,0,81920,4,81046
5,2023/10/18 17:40:47.344,63.37,0,0,81920,4,81046
6,2023/10/18 17:40:47.349,64.33,0,0,81920,4,81046
7,2023/10/18 17:40:47.356,61.76,0,0,81920,4,81046
0,2023/10/18 17:40:47.465,66.34,0,0,81920,4,81046
1,2023/10/18 17:40:47.472,62.85,0,0,81920,4,81046
2,2023/10/18 17:40:47.479,62.51,0,0,81920,4,81046
3,2023/10/18 17:40:47.485,60.56,0,0,81920,4,81046
4,2023/10/18 17:40:47.493,63.45,0,0,81920,4,81046
5,2023/10/18 17:40:47.498,63.37,0,0,81920,4,81046
6,2023/10/18 17:40:47.506,64.33,0,0,81920,4,81046
7,2023/10/18 17:40:47.514,61.76,0,0,81920,4,81046
0,2023/10/18 17:40:47.621,66.34,0,0,81920,4,81046
1,2023/10/18 17:40:47.628,62.85,0,0,81920,4,81046
2,2023/10/18 17:40:47.636,62.51,0,0,81920,4,81046
3,2023/10/18 17:40:47.643,60.56,0,0,81920,4,81046
4,2023/10/18 17:40:47.650,63.52,0,0,81920,4,81046
5,2023/10/18 17:40:47.655,63.37,0,0,81920,4,81046
6,2023/10/18 17:40:47.664,64.00,0,0,81920,4,81046
7,2023/10/18 17:40:47.672,61.76,0,0,81920,4,81046
0,2023/10/18 17:40:47.779,66.07,0,0,81920,4,81046
1,2023/10/18 17:40:47.784,62.85,0,0,81920,4,81046
2,2023/10/18 17:40:47.789,62.51,0,0,81920,4,81046
3,2023/10/18 17:40:47.797,60.56,0,0,81920,4,81046
4,2023/10/18 17:40:47.806,63.45,0,0,81920,4,81046
5,2023/10/18 17:40:47.815,63.37,0,0,81920,4,81046
6,2023/10/18 17:40:47.826,64.33,0,0,81920,4,81046
7,2023/10/18 17:40:47.832,62.04,0,0,81920,4,81046
0,2023/10/18 17:40:47.940,66.07,0,0,81920,4,81046
1,2023/10/18 17:40:47.946,62.85,0,0,81920,4,81046
2,2023/10/18 17:40:47.954,62.51,0,0,81920,4,81046
3,2023/10/18 17:40:47.960,60.56,0,0,81920,4,81046
4,2023/10/18 17:40:47.966,63.45,0,0,81920,4,81046
5,2023/10/18 17:40:47.974,63.37,0,0,81920,4,81046
6,2023/10/18 17:40:47.980,64.33,0,0,81920,4,81046
7,2023/10/18 17:40:47.988,61.76,0,0,81920,4,81046
0,2023/10/18 17:40:48.096,66.07,0,0,81920,4,81046
1,2023/10/18 17:40:48.104,62.85,0,0,81920,4,81046
2,2023/10/18 17:40:48.110,62.85,0,0,81920,4,81046
3,2023/10/18 17:40:48.115,60.56,0,0,81920,4,81046
4,2023/10/18 17:40:48.125,63.85,0,0,81920,4,81046
5,2023/10/18 17:40:48.133,63.37,0,0,81920,4,81046
6,2023/10/18 17:40:48.140,64.00,0,0,81920,4,81046
7,2023/10/18 17:40:48.147,62.04,0,0,81920,4,81046
0,2023/10/18 17:40:48.256,66.07,0,0,81920,4,81046
1,2023/10/18 17:40:48.261,62.85,0,0,81920,4,81046
2,2023/10/18 17:40:48.268,62.51,0,0,81920,4,81046
3,2023/10/18 17:40:48.276,60.56,0,0,81920,4,81046
4,2023/10/18 17:40:48.282,63.45,0,0,81920,4,81046
5,2023/10/18 17:40:48.289,63.37,0,0,81920,4,81046
6,2023/10/18 17:40:48.294,64.33,0,0,81920,4,81046
7,2023/10/18 17:40:48.301,62.04,0,0,81920,4,81046
0,2023/10/18 17:40:48.407,66.07,0,0,81920,4,81046
1,2023/10/18 17:40:48.414,62.85,0,0,81920,4,81046
2,2023/10/18 17:40:48.420,62.51,0,0,81920,4,81046
3,2023/10/18 17:40:48.427,60.56,0,0,81920,4,81046
4,2023/10/18 17:40:48.432,63.52,0,0,81920,4,81046
5,2023/10/18 17:40:48.441,63.37,0,0,81920,4,81046
6,2023/10/18 17:40:48.450,64.00,0,0,81920,4,81046
7,2023/10/18 17:40:48.459,61.76,0,0,81920,4,81046
